Film,LAND,
0043184,United States,1
0043194,United States,1
0043197,United States,1
0043201,United States,1
0043204,United States,1
0043206,United States,1
0043208,United States,1
0043215,United States,1
0043224,Canada,1
0043228,United States,1
0043231,United States,1
0043232,United States,1
0043234,United States,1
0043238,United States,1
0043255,United States,1
0043264,France,1
0043265,United Kingdom,1
0043266,France,1
0043277,Austria,1
0043281,Italy,1
0043284,Mexico,1
0043299,United States,1
0043323,Hungary,1
0043328,East Germany,1
0043343,United States,1
0043347,Switzerland,1
0043350,United States,1
0043357,France,1
0043360,United States,1
0043368,Sweden,1
0043381,United States,1
0043392,United States,1
0043452,United Kingdom,1
0043458,United States,1
0043459,United States,1
0043461,United States,1
0043484,Bundesrepublik Deutschland (bis 1990),1
0043504,Bundesrepublik Deutschland (bis 1990),1
0043509,Bundesrepublik Deutschland (bis 1990),1
0043518,Bundesrepublik Deutschland (bis 1990),1
0043522,Bundesrepublik Deutschland (bis 1990),1
0043523,United States,1
0043528,Austria,1
0043537,United States,1
0043563,Bundesrepublik Deutschland (bis 1990),1
0043568,Austria,1
0043582,Austria,1
0043588,United States,1
0043594,United Kingdom,1
0043599,United States,1
0043618,United Kingdom,1
0043622,Bundesrepublik Deutschland (bis 1990),1
0043625,United States,1
0043629,United Kingdom,1
0043636,Bundesrepublik Deutschland (bis 1990),1
0043643,United States,1
0043646,United States,1
0043655,United States,1
0043658,United Kingdom,1
0043660,United States,1
0043669,United States,1
0043680,United States,1
0043698,Sweden,1
0043719,United Kingdom,1
0043726,United Kingdom,1
0043728,United States,1
0043737,Bundesrepublik Deutschland (bis 1990),1
0043743,United States,1
0043748,United States,1
0043752,United Kingdom,1
0043766,United States,1
0043771,Austria,1
0043786,Austria,1
0043792,United States,1
0043797,Bundesrepublik Deutschland (bis 1990),1
0043827,United States,1
0043835,Bundesrepublik Deutschland (bis 1990),1
0043859,United Kingdom,1
0043860,United Kingdom,1
0043871,United Kingdom,1
0043873,United States,1
0043896,United States,1
0043897,Switzerland,1
0043901,France,1
0043910,United States,1
0043915,United States,1
0043919,United States,1
0043924,United States,1
0043930,United Kingdom,1
0043933,United States,1
0043938,United States,1
0043949,United States,1
0043961,United States,1
0043962,United States,1
0043965,United States,1
0043968,United States,1
0043998,United States,1
0044006,Bundesrepublik Deutschland (bis 1990),1
0044012,United States,1
0044014,United Kingdom,1
0044040,United States,1
0044065,Bundesrepublik Deutschland (bis 1990),1
0044067,United States,1
0044078,United States,1
0044098,Bundesrepublik Deutschland (bis 1990),1
0044103,United Kingdom,1
0044108,United States,1
0044112,United States,1
0044128,United States,1
0044138,United States,1
0044152,Sweden,1
0044170,East Germany,1
0044173,United States,1
0044187,Austria,1
0044188,Bundesrepublik Deutschland (bis 1990),1
0044192,Switzerland,1
0044200,Bundesrepublik Deutschland (bis 1990),1
0044201,Bundesrepublik Deutschland (bis 1990),1
0044207,United States,1
0044212,United States,1
0044215,Austria,1
0044225,United Kingdom,1
0044228,Hungary,1
0044231,United States,1
0044238,United States,1
0044243,United States,1
0044248,United States,1
0044252,United States,1
0044256,United States,1
0044257,United States,1
0044259,United States,1
0044261,United States,1
0044263,United States,1
0044265,United States,1
0044268,United States,1
0044277,United States,1
0044283,United States,1
0044284,United States,1
0044287,United States,1
0044289,United States,1
0044301,United States,1
0044312,Austria,1
0044314,United States,1
0044322,Austria,1
0044324,United States,1
0044330,United Kingdom,1
0044331,United States,1
0044333,United States,1
0044344,Bundesrepublik Deutschland (bis 1990),1
0044355,United States,1
0044366,United States,1
0044379,United States,1
0044391,United States,1
0044394,United States,1
0044419,United States,1
0044423,United States,1
0044437,United States,1
0044509,United States,1
0044517,United States,1
0044536,France,1
0044538,United Kingdom,1
0044547,United States,1
0044549,Bundesrepublik Deutschland (bis 1990),1
0044552,United States,1
0044581,Bundesrepublik Deutschland (bis 1990),1
0044586,United Kingdom,1
0044601,United States,1
0044605,United Kingdom,1
0044623,Sweden,1
0044635,East Germany,1
0044638,Bundesrepublik Deutschland (bis 1990),1
0044640,France,1
0044642,Bundesrepublik Deutschland (bis 1990),1
0044646,Sweden,1
0044647,Bundesrepublik Deutschland (bis 1990),1
0044648,Bundesrepublik Deutschland (bis 1990),1
0044663,United States,1
0044665,United States,1
0044673,France,1
0044676,Bundesrepublik Deutschland (bis 1990),1
0044684,Austria,1
0044696,Switzerland,1
0044709,Bundesrepublik Deutschland (bis 1990),1
0044711,United Kingdom,1
0044742,Bundesrepublik Deutschland (bis 1990),1
0044743,Bundesrepublik Deutschland (bis 1990),1
0044749,United Kingdom,1
0044751,United States,1
0044760,United Kingdom,1
0044794,Bundesrepublik Deutschland (bis 1990),1
0044799,Switzerland,1
0044803,Austria,1
0044817,United States,1
0044822,Bundesrepublik Deutschland (bis 1990),1
0044829,United Kingdom,1
0044836,United States,1
0044847,United States,1
0044855,United States,1
0044857,France,1
0044893,United States,1
0044900,United States,1
0044907,United States,1
0044937,United States,1
0044939,United States,1
0044953,United States,1
0044971,United States,1
0044981,United States,1
0044987,United States,1
0044999,United States,1
0045002,United Kingdom,1
0045005,United Kingdom,1
0045031,United States,1
0045034,France,1
0045035,France,1
0045039,United States,1
0045070,United States,1
0045072,United States,1
0045073,United States,1
0045092,United Kingdom,1
0045097,United States,1
0045099,East Germany,1
0045126,United States,1
0045127,Austria,1
0045178,United Kingdom,1
0045187,United States,1
0045196,United States,1
0045199,United States,1
0045244,United Kingdom,1
0045250,Bundesrepublik Deutschland (bis 1990),1
0045267,United States,1
0045290,East Germany,1
0045309,United States,1
0045320,Bundesrepublik Deutschland (bis 1990),1
0045323,United States,1
0045325,United Kingdom,1
0045329,United States,1
0045335,Bundesrepublik Deutschland (bis 1990),1
0045338,United Kingdom,1
0045345,United States,1
0045355,Hungary,1
0045385,United States,1
0045395,United States,1
0045398,United States,1
0045402,United States,1
0045406,United States,1
0045409,United States,1
0045410,United States,1
0045411,United States,1
0045415,United States,1
0045419,United States,1
0045428,France,1
0045430,United States,1
0045435,United States,1
0045449,United States,1
0045458,United States,1
0045460,United States,1
0045463,United States,1
0045464,United States,1
0045469,United States,1
0045478,France,1
0045483,Italy,1
0045487,United Kingdom,1
0045492,United States,1
0045494,United States,1
0045496,France,1
0045499,Italy,1
0045508,East Germany,1
0045513,United Kingdom,1
0045534,United States,1
0045537,United States,1
0045555,United States,1
0045566,United States,1
0045567,Bundesrepublik Deutschland (bis 1990),1
0045568,United States,1
0045592,United States,1
0045604,United States,1
0045607,United Kingdom,1
0045624,United States,1
0045630,United States,1
0045655,United States,1
0045675,United Kingdom,1
0045678,United States,1
0045679,United States,1
0045681,United Kingdom,1
0045687,United States,1
0045707,Austria,1
0045724,Austria,1
0045729,France,1
0045754,United States,1
0045760,Austria,1
0045763,Bundesrepublik Deutschland (bis 1990),1
0045774,United States,1
0045781,United States,1
0045789,United States,1
0045803,United Kingdom,1
0045806,East Germany,1
0045810,United States,1
0045811,Bundesrepublik Deutschland (bis 1990),1
0045824,United States,1
0045828,United States,1
0045837,United States,1
0045839,United Kingdom,1
0045878,Bundesrepublik Deutschland (bis 1990),1
0045880,Bundesrepublik Deutschland (bis 1990),1
0045881,Bundesrepublik Deutschland (bis 1990),1
0045886,United States,1
0045889,United Kingdom,1
0045895,Bundesrepublik Deutschland (bis 1990),1
0045897,United States,1
0045902,United States,1
0045905,Austria,1
0045940,United States,1
0045941,United States,1
0045943,United States,1
0045956,Bundesrepublik Deutschland (bis 1990),1
0045963,United States,1
0045966,United Kingdom,1
0045980,Bundesrepublik Deutschland (bis 1990),1
0045988,United States,1
0045996,Bundesrepublik Deutschland (bis 1990),1
0046000,United States,1
0046013,United Kingdom,1
0046022,France,1
0046026,United States,1
0046027,United States,1
0046030,France,1
0046031,United Kingdom,1
0046034,United Kingdom,1
0046040,United States,1
0046059,United States,1
0046061,Bundesrepublik Deutschland (bis 1990),1
0046062,United Kingdom,1
0046083,Bundesrepublik Deutschland (bis 1990),1
0046086,France,1
0046094,United States,1
0046124,United Kingdom,1
0046126,United States,1
0046143,United States,1
0046166,United Kingdom,1
0046212,United States,1
0046239,United States,1
0046247,United States,1
0046248,United States,1
0046253,Bundesrepublik Deutschland (bis 1990),1
0046260,United States,1
0046268,France,1
0046269,United States,1
0046276,United States,1
0046307,United Kingdom,1
0046316,United States,1
0046330,United States,1
0046331,United Kingdom,1
0046334,United States,1
0046348,United States,1
0046359,United States,1
0046362,United Kingdom,1
0046364,United States,1
0046371,Netherlands,1
0046372,Austria,1
0046374,United States,1
0046378,United Kingdom,1
0046427,United States,1
0046432,United Kingdom,1
0046433,Austria,1
0046435,United States,1
0046439,Austria,1
0046441,United States,1
0046446,United States,1
0046467,Bundesrepublik Deutschland (bis 1990),1
0046472,United Kingdom,1
0046480,France,1
0046497,United States,1
0046500,Switzerland,1
0046507,Bundesrepublik Deutschland (bis 1990),1
0046515,United States,1
0046535,United Kingdom,1
0046539,Bundesrepublik Deutschland (bis 1990),1
0046547,United States,1
0046551,United Kingdom,1
0046558,United Kingdom,1
0046561,United Kingdom,1
0046564,United States,1
0046574,United States,1
0046576,United States,1
0046580,United States,1
0046585,United States,1
0046587,United States,1
0046588,United Kingdom,1
0046590,United States,1
0046592,United States,1
0046593,United States,1
0046600,United States,1
0046612,United States,1
0046616,United States,1
0046617,United States,1
0046618,United States,1
0046621,United States,1
0046623,United States,1
0046634,United States,1
0046637,United States,1
0046638,United States,1
0046639,United States,1
0046648,United States,1
0046659,United Kingdom,1
0046660,United States,1
0046665,United States,1
0046672,United States,1
0046691,East Germany,1
0046728,United States,1
0046749,United Kingdom,1
0046754,Italy,1
0046759,United Kingdom,1
0046767,United States,1
0046770,United States,1
0046784,United Kingdom,1
0046816,United States,1
0046828,United States,1
0046829,Bundesrepublik Deutschland (bis 1990),1
0046830,East Germany,1
0046846,United Kingdom,1
0046863,Bundesrepublik Deutschland (bis 1990),1
0046877,United Kingdom,1
0046896,United States,1
0046903,United States,1
0046913,United Kingdom,1
0046914,Bundesrepublik Deutschland (bis 1990),1
0046915,United Kingdom,1
0046942,United Kingdom,1
0046951,United States,1
0046954,Bundesrepublik Deutschland (bis 1990),1
0046958,East Germany,1
0046959,Bundesrepublik Deutschland (bis 1990),1
0046962,Bundesrepublik Deutschland (bis 1990),1
0046979,United States,1
0046982,United States,1
0046988,Sweden,1
0047000,United States,1
0047004,Bundesrepublik Deutschland (bis 1990),1
0047012,United States,1
0047017,East Germany,1
0047044,France,1
0047050,United States,1
0047054,Bundesrepublik Deutschland (bis 1990),1
0047080,Bundesrepublik Deutschland (bis 1990),1
0047135,United States,1
0047150,United States,1
0047151,Bundesrepublik Deutschland (bis 1990),1
0047152,United States,1
0047154,Austria,1
0047156,Bundesrepublik Deutschland (bis 1990),1
0047174,East Germany,1
0047176,Bundesrepublik Deutschland (bis 1990),1
0047189,Australia,1
0047195,Bundesrepublik Deutschland (bis 1990),1
0047203,United States,1
0047216,Spain,1
0047217,France,1
0047227,Bundesrepublik Deutschland (bis 1990),1
0047230,United States,1
0047240,United States,1
0047261,Bundesrepublik Deutschland (bis 1990),1
0047279,United States,1
0047290,Bundesrepublik Deutschland (bis 1990),1
0047296,United States,1
0047317,United States,1
0047331,United States,1
0047332,France,1
0047336,Italy,1
0047346,Bundesrepublik Deutschland (bis 1990),1
0047349,United States,1
0047365,United States,1
0047369,United States,1
0047374,Mexico,1
0047396,United States,1
0047408,United States,1
0047420,Bundesrepublik Deutschland (bis 1990),1
0047426,Bundesrepublik Deutschland (bis 1990),1
0047431,Bundesrepublik Deutschland (bis 1990),1
0047436,Sweden,1
0047437,United States,1
0047451,Bundesrepublik Deutschland (bis 1990),1
0047464,United States,1
0047490,United States,1
0047494,United States,1
0047520,Bundesrepublik Deutschland (bis 1990),1
0047522,United States,1
0047529,United Kingdom,1
0047537,United States,1
0047539,East Germany,1
0047547,United States,1
0047563,United Kingdom,1
0047568,United Kingdom,1
0047571,East Germany,1
0047572,Bundesrepublik Deutschland (bis 1990),1
0047589,United Kingdom,1
0047590,United States,1
0047623,Sweden,1
0047625,United Kingdom,1
0047641,United States,1
0047656,Bundesrepublik Deutschland (bis 1990),1
0047666,Austria,1
0047684,United States,1
0047694,Bundesrepublik Deutschland (bis 1990),1
0047695,Bundesrepublik Deutschland (bis 1990),1
0047696,Sweden,1
0047702,United States,1
0047704,United States,1
0047705,Australia,1
0047706,United Kingdom,1
0047707,United States,1
0047708,United States,1
0047713,United States,1
0047719,United States,1
0047720,United States,1
0047723,United Kingdom,1
0047724,United States,1
0047726,United States,1
0047727,United States,1
0047728,United Kingdom,1
0047732,United States,1
0047738,United States,1
0047739,United States,1
0047745,United States,1
0047751,United States,1
0047753,United States,1
0047756,United States,1
0047758,United States,1
0047763,United States,1
0047764,United States,1
0047766,United Kingdom,1
0047767,United States,1
0047768,United States,1
0047770,United States,1
0047771,United States,1
0047773,United States,1
0047780,United States,1
0047786,United States,1
0047790,Bundesrepublik Deutschland (bis 1990),1
0047795,United States,1
0047798,Bundesrepublik Deutschland (bis 1990),1
0047804,United States,1
0047818,France,1
0047826,Austria,1
0047834,United Kingdom,1
0047840,United States,1
0047850,Austria,1
0047851,Bundesrepublik Deutschland (bis 1990),1
0047868,Austria,1
0047878,United States,1
0047897,United Kingdom,1
0047904,United States,1
0047919,United States,1
0047924,United Kingdom,1
0047945,United Kingdom,1
0047947,United States,1
0047952,Bundesrepublik Deutschland (bis 1990),1
0047960,United States,1
0047962,United States,1
0047963,United Kingdom,1
0047978,United Kingdom,1
0047989,Austria,1
0048008,France,1
0048016,Bundesrepublik Deutschland (bis 1990),1
0048020,Bundesrepublik Deutschland (bis 1990),1
0048038,East Germany,1
0048042,France,1
0048051,Bundesrepublik Deutschland (bis 1990),1
0048060,Sweden,1
0048075,Bundesrepublik Deutschland (bis 1990),1
0048089,Bundesrepublik Deutschland (bis 1990),1
0048095,Sweden,1
0048103,France,1
0048119,United States,1
0048121,Israel,1
0048124,United States,1
0048129,Spain,1
0048135,United Kingdom,1
0048142,Hungary,1
0048147,Bundesrepublik Deutschland (bis 1990),1
0048152,Switzerland,1
0048160,United States,1
0048162,Austria,1
0048174,United States,1
0048188,United Kingdom,1
0048194,Bundesrepublik Deutschland (bis 1990),1
0048197,Bundesrepublik Deutschland (bis 1990),1
0048209,United States,1
0048235,United States,1
0048255,Bundesrepublik Deutschland (bis 1990),1
0048259,United States,1
0048260,United States,1
0048262,United States,1
0048273,Sweden,1
0048274,Bundesrepublik Deutschland (bis 1990),1
0048281,United Kingdom,1
0048294,United Kingdom,1
0048296,Bundesrepublik Deutschland (bis 1990),1
0048308,France,1
0048317,United States,1
0048321,France,1
0048338,United Kingdom,1
0048346,United Kingdom,1
0048347,United States,1
0048348,Bundesrepublik Deutschland (bis 1990),1
0048387,United States,1
0048399,East Germany,1
0048403,Austria,1
0048437,France,1
0048441,United Kingdom,1
0048445,United States,1
0048493,United States,1
0048502,Switzerland,1
0048514,United Kingdom,1
0048522,United States,1
0048528,United Kingdom,1
0048531,United States,1
0048542,Bundesrepublik Deutschland (bis 1990),1
0048551,Sweden,1
0048564,Bundesrepublik Deutschland (bis 1990),1
0048565,Bundesrepublik Deutschland (bis 1990),1
0048595,United Kingdom,1
0048598,Austria,1
0048605,United States,1
0048623,United States,1
0048637,Bundesrepublik Deutschland (bis 1990),1
0048645,France,1
0048658,Italy,1
0048663,United States,1
0048668,Bundesrepublik Deutschland (bis 1990),1
0048670,Bundesrepublik Deutschland (bis 1990),1
0048697,Spain,1
0048712,United Kingdom,1
0048724,United States,1
0048728,United States,1
0048758,Switzerland,1
0048761,Austria,1
0048767,United States,1
0048777,Bundesrepublik Deutschland (bis 1990),1
0048791,United States,1
0048809,Austria,1
0048811,United States,1
0048830,Bundesrepublik Deutschland (bis 1990),1
0048833,Sweden,1
0048838,United States,1
0048839,United States,1
0048840,United States,1
0048841,United Kingdom,1
0048853,United States,1
0048860,United States,1
0048861,United States,1
0048863,United States,1
0048864,United States,1
0048872,United States,1
0048880,United States,1
0048882,United Kingdom,1
0048885,United States,1
0048887,United States,1
0048892,United States,1
0048893,United States,1
0048903,United States,1
0048904,United States,1
0048914,United States,1
0048916,United States,1
0048917,Austria,1
0048937,Spain,1
0048947,United States,1
0048948,Bundesrepublik Deutschland (bis 1990),1
0048960,United States,1
0048964,United Kingdom,1
0048966,United States,1
0048967,United States,1
0048990,United Kingdom,1
0049003,Bundesrepublik Deutschland (bis 1990),1
0049006,United States,1
0049007,United States,1
0049011,United States,1
0049028,United Kingdom,1
0049067,United Kingdom,1
0049091,United States,1
0049108,United States,1
0049117,United States,1
0049140,United States,1
0049162,Bundesrepublik Deutschland (bis 1990),1
0049169,United States,1
0049170,United States,1
0049171,United States,1
0049174,Bundesrepublik Deutschland (bis 1990),1
0049177,France,1
0049206,Bundesrepublik Deutschland (bis 1990),1
0049213,Bundesrepublik Deutschland (bis 1990),1
0049224,United States,1
0049230,Bundesrepublik Deutschland (bis 1990),1
0049239,Bundesrepublik Deutschland (bis 1990),1
0049247,United States,1
0049248,United Kingdom,1
0049253,Bundesrepublik Deutschland (bis 1990),1
0049255,East Germany,1
0049292,East Germany,1
0049293,Bundesrepublik Deutschland (bis 1990),1
0049296,Switzerland,1
0049298,East Germany,1
0049299,Bundesrepublik Deutschland (bis 1990),1
0049300,East Germany,1
0049301,United States,1
0049307,Bundesrepublik Deutschland (bis 1990),1
0049333,United States,1
0049339,United Kingdom,1
0049340,United States,1
0049355,Bundesrepublik Deutschland (bis 1990),1
0049357,United Kingdom,1
0049367,United States,1
0049372,United Kingdom,1
0049390,United States,1
0049392,Austria,1
0049436,United States,1
0049437,Bundesrepublik Deutschland (bis 1990),1
0049438,Italy,1
0049439,Austria,1
0049440,Austria,1
0049441,Austria,1
0049448,France,1
0049451,United Kingdom,1
0049460,Austria,1
0049461,United States,1
0049470,United States,1
0049472,United States,1
0049483,France,1
0049490,United States,1
0049493,Bundesrepublik Deutschland (bis 1990),1
0049495,Bundesrepublik Deutschland (bis 1990),1
0049499,Spain,1
0049501,France,1
0049504,United Kingdom,1
0049509,United States,1
0049521,France,1
0049530,United Kingdom,1
0049547,United States,1
0049566,Switzerland,1
0049578,United States,1
0049586,United States,1
0049587,United States,1
0049594,France,1
0049635,United States,1
0049641,Bundesrepublik Deutschland (bis 1990),1
0049645,France,1
0049663,United States,1
0049665,United Kingdom,1
0049675,United States,1
0049679,East Germany,1
0049691,Austria,1
0049693,United States,1
0049696,United States,1
0049724,East Germany,1
0049737,United States,1
0049745,United States,1
0049760,United States,1
0049766,Bundesrepublik Deutschland (bis 1990),1
0049780,Bundesrepublik Deutschland (bis 1990),1
0049797,Bundesrepublik Deutschland (bis 1990),1
0049840,Bundesrepublik Deutschland (bis 1990),1
0049843,United States,1
0049876,Bundesrepublik Deutschland (bis 1990),1
0049928,Bundesrepublik Deutschland (bis 1990),1
0049930,Bundesrepublik Deutschland (bis 1990),1
0049934,United States,1
0049949,United States,1
0049951,United Kingdom,1
0049953,Bundesrepublik Deutschland (bis 1990),1
0049955,United States,1
0049959,Austria,1
0049984,Bundesrepublik Deutschland (bis 1990),1
0049985,Switzerland,1
0049988,Sweden,1
0049992,United States,1
0049995,United Kingdom,1
0050002,United States,1
0050005,United States,1
0050006,United States,1
0050010,United States,1
0050013,United States,1
0050015,United Kingdom,1
0050017,United States,1
0050021,United States,1
0050025,United States,1
0050034,United States,1
0050035,United States,1
0050037,United States,1
0050039,United States,1
0050043,United States,1
0050044,United Kingdom,1
0050046,United Kingdom,1
0050049,United States,1
0050051,United States,1
0050054,United Kingdom,1
0050055,United States,1
0050058,United Kingdom,1
0050059,United States,1
0050061,United States,1
0050063,United States,1
0050064,United States,1
0050066,United States,1
0050067,United States,1
0050069,United States,1
0050073,United States,1
0050074,United States,1
0050080,Bundesrepublik Deutschland (bis 1990),1
0050084,United States,1
0050085,United States,1
0050092,United States,1
0050105,United States,1
0050115,Bundesrepublik Deutschland (bis 1990),1
0050123,France,1
0050126,France,1
0050128,Bundesrepublik Deutschland (bis 1990),1
0050169,United Kingdom,1
0050171,United States,1
0050174,United Kingdom,1
0050179,Bundesrepublik Deutschland (bis 1990),1
0050219,Switzerland,1
0050232,France,1
0050245,France,1
0050246,United Kingdom,1
0050271,United States,1
0050327,United States,1
0050331,Bundesrepublik Deutschland (bis 1990),1
0050334,Bundesrepublik Deutschland (bis 1990),1
0050351,Bundesrepublik Deutschland (bis 1990),1
0050355,Bundesrepublik Deutschland (bis 1990),1
0050356,United States,1
0050362,Bundesrepublik Deutschland (bis 1990),1
0050374,Austria,1
0050379,United States,1
0050385,United States,1
0050397,United Kingdom,1
0050411,Bundesrepublik Deutschland (bis 1990),1
0050419,United States,1
0050424,United States,1
0050427,East Germany,1
0050440,United States,1
0050444,Bundesrepublik Deutschland (bis 1990),1
0050451,Bundesrepublik Deutschland (bis 1990),1
0050493,Austria,1
0050505,Bundesrepublik Deutschland (bis 1990),1
0050512,United States,1
0050530,United States,1
0050539,United States,1
0050544,United States,1
0050552,United States,1
0050566,Sweden,1
0050581,Austria,1
0050584,Austria,1
0050589,United States,1
0050602,Bundesrepublik Deutschland (bis 1990),1
0050616,Austria,1
0050618,Bundesrepublik Deutschland (bis 1990),1
0050620,United Kingdom,1
0050632,United Kingdom,1
0050637,Bundesrepublik Deutschland (bis 1990),1
0050645,East Germany,1
0050650,United States,1
0050656,United States,1
0050658,United States,1
0050692,United Kingdom,1
0050706,France,1
0050707,United Kingdom,1
0050721,Bundesrepublik Deutschland (bis 1990),1
0050724,United Kingdom,1
0050738,United States,1
0050745,Bundesrepublik Deutschland (bis 1990),1
0050746,Bundesrepublik Deutschland (bis 1990),1
0050764,United States,1
0050767,United States,1
0050781,France,1
0050799,United States,1
0050819,Bundesrepublik Deutschland (bis 1990),1
0050825,United States,1
0050840,United States,1
0050854,France,1
0050858,United States,1
0050862,Bundesrepublik Deutschland (bis 1990),1
0050905,Bundesrepublik Deutschland (bis 1990),1
0050928,United States,1
0050931,Bundesrepublik Deutschland (bis 1990),1
0050937,Austria,1
0050938,Bundesrepublik Deutschland (bis 1990),1
0050939,Austria,1
0050941,Austria,1
0050950,France,1
0050972,United States,1
0050997,France,1
0051003,United States,1
0051009,United Kingdom,1
0051016,United States,1
0051017,United Kingdom,1
0051020,United Kingdom,1
0051052,United States,1
0051059,Switzerland,1
0051066,United States,1
0051088,United States,1
0051094,Bundesrepublik Deutschland (bis 1990),1
0051095,Bundesrepublik Deutschland (bis 1990),1
0051105,United Kingdom,1
0051110,France,1
0051111,United States,1
0051149,United States,1
0051158,East Germany,1
0051165,Bundesrepublik Deutschland (bis 1990),1
0051188,Bundesrepublik Deutschland (bis 1990),1
0051191,Bundesrepublik Deutschland (bis 1990),1
0051193,United States,1
0051201,United States,1
0051207,United States,1
0051219,United Kingdom,1
0051235,Bundesrepublik Deutschland (bis 1990),1
0051237,Italy,1
0051247,United States,1
0051253,United States,1
0051261,United States,1
0051262,United States,1
0051266,United States,1
0051267,United States,1
0051275,United States,1
0051282,United States,1
0051285,United Kingdom,1
0051290,United States,1
0051292,United States,1
0051293,United States,1
0051297,United States,1
0051301,United States,1
0051308,United States,1
0051309,United States,1
0051311,United States,1
0051312,United States,1
0051319,United States,1
0051328,United States,1
0051333,Bundesrepublik Deutschland (bis 1990),1
0051334,Bundesrepublik Deutschland (bis 1990),1
0051346,United Kingdom,1
0051347,Bundesrepublik Deutschland (bis 1990),1
0051358,United States,1
0051359,Bundesrepublik Deutschland (bis 1990),1
0051382,Bundesrepublik Deutschland (bis 1990),1
0051401,Italy,1
0051403,United States,1
0051405,United Kingdom,1
0051411,United States,1
0051422,United Kingdom,1
0051427,United Kingdom,1
0051429,United Kingdom,1
0051440,Bundesrepublik Deutschland (bis 1990),1
0051454,United Kingdom,1
0051462,Bundesrepublik Deutschland (bis 1990),1
0051466,United States,1
0051473,France,1
0051477,France,1
0051483,Bundesrepublik Deutschland (bis 1990),1
0051492,United Kingdom,1
0051508,Bundesrepublik Deutschland (bis 1990),1
0051521,Bundesrepublik Deutschland (bis 1990),1
0051551,Bundesrepublik Deutschland (bis 1990),1
0051556,Bundesrepublik Deutschland (bis 1990),1
0051557,Bundesrepublik Deutschland (bis 1990),1
0051576,United Kingdom,1
0051588,Switzerland,1
0051624,France,1
0051630,United States,1
0051632,Austria,1
0051638,United States,1
0051640,United States,1
0051651,East Germany,1
0051656,United States,1
0051657,United States,1
0051681,Bundesrepublik Deutschland (bis 1990),1
0051688,United States,1
0051692,United Kingdom,1
0051695,Austria,1
0051712,Bundesrepublik Deutschland (bis 1990),1
0051715,United Kingdom,1
0051716,Bundesrepublik Deutschland (bis 1990),1
0051717,Bundesrepublik Deutschland (bis 1990),1
0051732,United States,1
0051754,United Kingdom,1
0051760,United States,1
0051765,Austria,1
0051770,United States,1
0051817,Liechtenstein,1
0051822,Sweden,1
0051823,Bundesrepublik Deutschland (bis 1990),1
0051835,Switzerland,1
0051853,United States,1
0051854,Sweden,1
0051860,East Germany,1
0051861,Bundesrepublik Deutschland (bis 1990),1
0051890,Bundesrepublik Deutschland (bis 1990),1
0051891,Italy,1
0051905,Bundesrepublik Deutschland (bis 1990),1
0051912,United Kingdom,1
0051915,United States,1
0051917,Bundesrepublik Deutschland (bis 1990),1
0051948,United States,1
0051964,Bundesrepublik Deutschland (bis 1990),1
0051966,Bundesrepublik Deutschland (bis 1990),1
0051971,Bundesrepublik Deutschland (bis 1990),1
0051982,Bundesrepublik Deutschland (bis 1990),1
0052006,United Kingdom,1
0052039,United States,1
0052047,Switzerland,1
0052050,United States,1
0052062,Bundesrepublik Deutschland (bis 1990),1
0052086,France,1
0052106,United States,1
0052126,United States,1
0052131,United States,1
0052136,France,1
0052144,Bundesrepublik Deutschland (bis 1990),1
0052162,Bundesrepublik Deutschland (bis 1990),1
0052202,Austria,1
0052207,United Kingdom,1
0052266,Bundesrepublik Deutschland (bis 1990),1
0052280,Italy,1
0052283,United States,1
0052294,United States,1
0052295,Bundesrepublik Deutschland (bis 1990),1
0052296,United States,1
0052313,Bundesrepublik Deutschland (bis 1990),1
0052320,United Kingdom,1
0052323,United Kingdom,1
0052340,Bundesrepublik Deutschland (bis 1990),1
0052350,Bundesrepublik Deutschland (bis 1990),1
0052355,Bundesrepublik Deutschland (bis 1990),1
0052358,Bundesrepublik Deutschland (bis 1990),1
0052408,Bundesrepublik Deutschland (bis 1990),1
0052415,United States,1
0052417,United Kingdom,1
0052427,United Kingdom,1
0052436,France,1
0052440,United States,1
0052441,United States,1
0052442,United States,1
0052443,Bundesrepublik Deutschland (bis 1990),1
0052445,United States,1
0052447,United States,1
0052449,United States,1
0052453,United States,1
0052458,United States,1
0052462,United States,1
0052463,United States,1
0052464,United States,1
0052466,United States,1
0052468,United Kingdom,1
0052472,United States,1
0052474,United States,1
0052475,United Kingdom,1
0052478,United States,1
0052479,United States,1
0052484,United States,1
0052485,United States,1
0052490,United States,1
0052491,United States,1
0052493,United States,1
0052504,United States,1
0052506,United States,1
0052508,United States,1
0052512,United States,1
0052515,United Kingdom,1
0052516,United States,1
0052517,United States,1
0052519,United States,1
0052520,United States,1
0052522,United States,1
0052533,Bundesrepublik Deutschland (bis 1990),1
0052537,Bundesrepublik Deutschland (bis 1990),1
0052550,Bundesrepublik Deutschland (bis 1990),1
0052551,Bundesrepublik Deutschland (bis 1990),1
0052552,East Germany,1
0052561,United States,1
0052595,France,1
0052617,United States,1
0052618,United States,1
0052622,East Germany,1
0052626,United States,1
0052631,United States,1
0052633,Bundesrepublik Deutschland (bis 1990),1
0052638,United States,1
0052643,United States,1
0052656,Bundesrepublik Deutschland (bis 1990),1
0052657,Bundesrepublik Deutschland (bis 1990),1
0052665,Switzerland,1
0052673,United States,1
0052690,France,1
