Film,LAND,
0014691,Germany,1
0014762,Germany,1
0014839,United Kingdom,1
0014900,Germany,1
0014939,Germany,1
0014951,Germany,1
0014970,Austria,1
0015031,Germany,1
0015044,Germany,1
0015045,Germany,1
0015064,Germany,1
0015065,Austria,1
0015067,Germany,1
0015136,Germany,1
0015144,Austria,1
0015153,Germany,1
0015158,Germany,1
0015160,Germany,1
0015174,Germany,1
0015175,Germany,1
0015177,Germany,1
0015202,Austria,1
0015222,Germany,1
0015225,Germany,1
0015247,Germany,1
0015253,Italy,1
0015308,Germany,1
0015309,Germany,1
0015339,Austria,1
0015351,Germany,1
0015352,Germany,1
0015360,Austria,1
0015458,Austria,1
0015526,Austria,1
0015531,Germany,1
0015586,Germany,1
0015599,Germany,1
0015673,Soviet Union,1
0015725,Germany,1
0015748,Germany,1
0015778,Germany,1
0015837,Germany,1
0015842,Germany,1
0015845,Germany,1
0015857,Germany,1
0015886,Germany,1
0015891,Germany,1
0015922,Germany,1
0015941,Germany,1
0015967,Germany,1
0015999,Germany,1
0016018,Germany,1
0016019,Germany,1
0016020,Germany,1
0016058,Germany,1
0016088,Germany,1
0016100,Germany,1
0016101,Germany,1
0016124,Germany,1
0016126,Germany,1
0016246,United Kingdom,1
0016285,Germany,1
0016286,Germany,1
0016322,Germany,1
0016369,Germany,1
0016384,Germany,1
0016459,Germany,1
0016467,Germany,1
0016481,Germany,1
0016483,United Kingdom,1
0016484,Germany,1
0016487,Germany,1
0016492,Germany,1
0016499,Germany,1
0016569,Germany,1
0016574,Germany,1
0016604,Germany,1
0016623,Austria,1
0016692,Germany,1
0016781,Germany,1
0016809,Germany,1
0016810,Germany,1
0016814,Germany,1
0016847,Germany,1
0016850,Germany,1
0016883,Germany,1
0016886,Sweden,1
0016889,Germany,1
0016905,Germany,1
0016914,Germany,1
0016915,Germany,1
0016930,Germany,1
0016942,Germany,1
0016953,Germany,1
0016985,Germany,1
0016992,Germany,1
0017017,Germany,1
0017018,Germany,1
0017027,Germany,1
0017043,Germany,1
0017045,Czechoslovakia,1
0017046,Germany,1
0017050,Germany,1
0017065,Germany,1
0017099,Germany,1
0017116,Germany,1
0017118,Germany,1
0017136,Germany,1
0017137,France,1
0017159,Soviet Union,1
0017248,Germany,1
0017288,Germany,1
0017299,Germany,1
0017338,Austria,1
0017352,Germany,1
0017364,Germany,1
0017413,Germany,1
0017438,Germany,1
0017448,Germany,1
0017487,Germany,1
0017498,Germany,1
0017514,Germany,1
0017515,Germany,1
0017516,Germany,1
0017521,Germany,1
0017533,Germany,1
0017554,United States,1
0017578,United Kingdom,1
0017587,Germany,1
0017621,Germany,1
0017623,Germany,1
0017648,Germany,1
0017661,Germany,1
0017663,Spain,1
0017668,Germany,1
0017669,Germany,1
0017673,Germany,1
0017726,Austria,1
0017739,United States,1
0017789,Germany,1
0017791,Germany,1
0017812,Germany,1
0017826,Germany,1
0017827,Germany,1
0017835,Germany,1
0017837,Germany,1
0017845,Germany,1
0017872,Germany,1
0017900,United Kingdom,1
0017905,Germany,1
0017909,Germany,1
0017912,Germany,1
0017922,Germany,1
0017923,Germany,1
0017930,Germany,1
0017952,Germany,1
0017954,Germany,1
0018013,Germany,1
0018021,Germany,1
0018049,Germany,1
0018053,Germany,1
0018068,Germany,1
0018074,United States,1
0018082,Germany,1
0018087,Germany,1
0018088,Germany,1
0018127,United Kingdom,1
0018137,United States,1
0018139,Germany,1
0018141,Germany,1
0018154,Germany,1
0018155,Germany,1
0018191,Hungary,1
0018239,Germany,1
0018279,Germany,1
0018365,Germany,1
0018372,Germany,1
0018373,Germany,1
0018408,Germany,1
0018424,Germany,1
0018451,United States,1
0018455,United States,1
0018463,Germany,1
0018491,Germany,1
0018529,Germany,1
0018552,Germany,1
0018553,Germany,1
0018588,Germany,1
0018607,Soviet Union,1
